AoA,        Cd,         Reynolds   
      21.00,     0.1544,   180000.0
      21.50,     0.1619,   180000.0
      22.00,     0.1698,   180000.0
      22.50,     0.1777,   180000.0
      23.00,     0.1858,   180000.0
      23.50,     0.1940,   180000.0
      24.00,     0.2037,   180000.0
      24.50,     0.2124,   180000.0
      25.00,     0.2271,   180000.0
      26.00,     0.2863,   180000.0
      27.00,     0.3125,   180000.0
      28.00,     0.3392,   180000.0
      29.00,     0.3666,   180000.0
      30.00,     0.3945,   180000.0
      60.00,     1.3011,   180000.0
      90.00,     1.7518,   180000.0
     120.00,     1.3110,   180000.0
     150.00,     0.4358,   180000.0
     180.00,     0.0060,   180000.0
    -180.00,     0.0060,   330000.0
    -150.00,     0.4213,   330000.0
    -120.00,     1.2358,   330000.0
     -90.00,     1.6376,   330000.0
     -60.00,     1.2343,   330000.0
     -30.00,     0.4151,   330000.0
     -10.00,     0.0193,   330000.0
      -9.50,     0.0182,   330000.0
      -9.00,     0.0172,   330000.0
      -8.50,     0.0163,   330000.0
      -8.00,     0.0156,   330000.0
      -7.50,     0.0149,   330000.0
      -7.00,     0.0142,   330000.0
      -6.00,     0.0132,   330000.0
      -5.50,     0.0128,   330000.0
      -5.00,     0.0124,   330000.0
      -4.50,     0.0121,   330000.0
      -4.00,     0.0118,   330000.0
      -3.50,     0.0116,   330000.0
      -3.00,     0.0114,   330000.0
      -2.50,     0.0113,   330000.0
      -2.00,     0.0112,   330000.0
      -1.50,     0.0111,   330000.0
      -1.00,     0.0111,   330000.0
      -0.50,     0.0110,   330000.0
       0.00,     0.0110,   330000.0
       0.50,     0.0109,   330000.0
       1.00,     0.0106,   330000.0
       1.50,     0.0104,   330000.0
       2.00,     0.0103,   330000.0
       2.50,     0.0104,   330000.0
       3.00,     0.0107,   330000.0
       3.50,     0.0110,   330000.0
       4.00,     0.0113,   330000.0
       4.50,     0.0116,   330000.0
       5.00,     0.0120,   330000.0
       5.50,     0.0124,   330000.0
       6.00,     0.0128,   330000.0
       6.50,     0.0132,   330000.0
       7.00,     0.0138,   330000.0
       7.50,     0.0144,   330000.0
       8.00,     0.0152,   330000.0
       8.50,     0.0162,   330000.0
       9.00,     0.0174,   330000.0
       9.50,     0.0188,   330000.0
      10.00,     0.0205,   330000.0
      10.50,     0.0224,   330000.0
      11.00,     0.0247,   330000.0
      11.50,     0.0273,   330000.0
      12.00,     0.0303,   330000.0
      12.50,     0.0336,   330000.0
      13.00,     0.0373,   330000.0
      13.50,     0.0415,   330000.0
      14.00,     0.0461,   330000.0
      14.50,     0.0512,   330000.0
      15.00,     0.0568,   330000.0
      15.50,     0.0627,   330000.0
      16.00,     0.0690,   330000.0
      16.50,     0.0758,   330000.0
      17.00,     0.0828,   330000.0
      17.50,     0.0900,   330000.0
      18.00,     0.0977,   330000.0
      18.50,     0.1053,   330000.0
      19.00,     0.1131,   330000.0
      19.50,     0.1209,   330000.0
      20.00,     0.1288,   330000.0
      20.50,     0.1368,   330000.0
      21.00,     0.1445,   330000.0
      21.50,     0.1526,   330000.0
      22.00,     0.1603,   330000.0
      22.50,     0.1681,   330000.0
      23.00,     0.1763,   330000.0
      23.50,     0.1840,   330000.0
      24.00,     0.1919,   330000.0
      24.50,     0.2001,   330000.0
      25.00,     0.2081,   330000.0
      26.00,     0.2747,   330000.0
      27.00,     0.3009,   330000.0
      28.00,     0.3278,   330000.0
      29.00,     0.3553,   330000.0
      30.00,     0.3834,   330000.0
      60.00,     1.2972,   330000.0
      90.00,     1.7506,   330000.0
     120.00,     1.3107,   330000.0
     150.00,     0.4358,   330000.0
     180.00,     0.0060,   330000.0
